Category,Min Trust Score,Max Trust Score,Avg Trust Score
office_space_supplies?page=15,3.7,3.8,3.735
office_space_supplies?page=16,3.7,3.7,3.7
office_space_supplies?page=17,3.7,3.7,3.7
office_space_supplies?page=18,3.5,3.7,3.586666666666667
office_space_supplies?page=19,3.0,3.4,3.264705882352941
office_space_supplies?page=20,2.7,3.0,2.88
office_space_supplies?page=21,2.0,2.7,2.34
office_space_supplies?page=22,1.2,1.7,1.5272727272727273
print_graphic_design?page=1,4.9,5.0,4.925000000000001
print_graphic_design?page=2,4.8,4.9,4.885000000000001
print_graphic_design?page=3,4.8,4.8,4.8
print_graphic_design?page=4,4.7,4.8,4.71
print_graphic_design?page=5,4.5,4.7,4.63
print_graphic_design?page=6,4.2,4.5,4.365
print_graphic_design?page=7,2.3,5.0,4.025
print_graphic_design?page=8,4.9,4.9,4.9
print_graphic_design?page=9,4.8,4.9,4.85
print_graphic_design?page=10,4.8,4.8,4.8
print_graphic_design?page=11,4.7,4.8,4.765
print_graphic_design?page=12,4.7,4.7,4.7
print_graphic_design?page=13,4.7,4.7,4.7
print_graphic_design?page=14,4.6,4.7,4.645
print_graphic_design?page=15,4.6,4.6,4.6
print_graphic_design?page=16,4.6,4.6,4.6
print_graphic_design?page=17,4.5,4.6,4.51
print_graphic_design?page=18,4.5,4.5,4.5
print_graphic_design?page=19,4.5,4.5,4.5
print_graphic_design?page=20,4.4,4.5,4.425000000000001
print_graphic_design?page=21,4.4,4.4,4.4
print_graphic_design?page=22,4.4,4.4,4.4
print_graphic_design?page=23,4.3,4.4,4.36
print_graphic_design?page=24,4.3,4.3,4.3
print_graphic_design?page=25,4.3,4.3,4.3
print_graphic_design?page=26,4.3,4.3,4.3
print_graphic_design?page=27,4.2,4.3,4.205
print_graphic_design?page=28,4.2,4.2,4.2
print_graphic_design?page=29,4.1,4.2,4.16
print_graphic_design?page=30,4.1,4.1,4.1
print_graphic_design?page=31,4.1,4.1,4.1
print_graphic_design?page=32,4.0,4.1,4.04
print_graphic_design?page=33,4.0,4.0,4.0
print_graphic_design?page=34,4.0,4.0,4.0
print_graphic_design?page=35,4.0,4.0,4.0
print_graphic_design?page=36,4.0,4.0,4.0
print_graphic_design?page=37,4.0,4.0,4.0
print_graphic_design?page=38,3.9,4.0,3.975
print_graphic_design?page=39,3.8,3.9,3.8499999999999996
print_graphic_design?page=40,3.8,3.8,3.8
print_graphic_design?page=41,3.8,3.8,3.8
print_graphic_design?page=42,3.8,3.8,3.8
print_graphic_design?page=43,3.8,3.8,3.8
print_graphic_design?page=44,3.7,3.8,3.7849999999999997
print_graphic_design?page=45,3.7,3.7,3.7
print_graphic_design?page=46,3.7,3.7,3.7
print_graphic_design?page=47,3.7,3.7,3.7
print_graphic_design?page=48,3.7,3.7,3.7
print_graphic_design?page=49,3.7,3.7,3.7
print_graphic_design?page=50,3.7,3.7,3.7
print_graphic_design?page=51,3.6,3.7,3.6500000000000004
print_graphic_design?page=52,3.5,3.6,3.5384615384615383
print_graphic_design?page=53,3.4,3.4,3.4
print_graphic_design?page=54,3.2,3.4,3.3
print_graphic_design?page=55,3.1,3.2,3.185
print_graphic_design?page=56,3.0,3.1,3.05
print_graphic_design?page=57,2.8,2.9,2.8649999999999998
print_graphic_design?page=58,2.6,2.8,2.68
print_graphic_design?page=59,2.2,2.6,2.385
print_graphic_design?page=60,1.7,2.2,1.91
print_graphic_design?page=61,1.1,1.7,1.37
research_development?page=1,4.7,4.9,4.8
research_development?page=2,2.3,5.0,4.265
research_development?page=3,4.8,4.9,4.84
research_development?page=4,4.7,4.8,4.75
research_development?page=5,4.6,4.7,4.695
research_development?page=6,4.6,4.6,4.6
research_development?page=7,4.6,4.6,4.6
research_development?page=8,4.5,4.6,4.505
research_development?page=9,4.5,4.5,4.5
research_development?page=10,4.4,4.5,4.415
research_development?page=11,4.4,4.4,4.4
research_development?page=12,4.3,4.4,4.390000000000001
research_development?page=13,4.3,4.3,4.3
research_development?page=14,4.3,4.3,4.3
research_development?page=15,4.3,4.3,4.3
research_development?page=16,4.2,4.3,4.25
research_development?page=17,4.2,4.2,4.2
research_development?page=18,4.1,4.2,4.13
research_development?page=19,4.1,4.1,4.1
research_development?page=20,4.0,4.1,4.09
research_development?page=21,4.0,4.0,4.0
research_development?page=22,4.0,4.0,4.0
research_development?page=23,4.0,4.0,4.0
research_development?page=24,4.0,4.0,4.0
research_development?page=25,4.0,4.0,4.0
research_development?page=26,3.9,4.0,3.98
research_development?page=27,3.8,3.9,3.87
research_development?page=28,3.8,3.8,3.8
research_development?page=29,3.8,3.8,3.8
research_development?page=30,3.8,3.8,3.8
research_development?page=31,3.8,3.8,3.8
research_development?page=32,3.7,3.8,3.795
research_development?page=33,3.7,3.7,3.7
research_development?page=34,3.7,3.7,3.7
research_development?page=35,3.7,3.7,3.7
research_development?page=36,3.7,3.7,3.7
research_development?page=37,3.7,3.7,3.7
research_development?page=38,3.7,3.7,3.7
research_development?page=39,3.6,3.7,3.68
research_development?page=40,3.5,3.6,3.575
research_development?page=41,3.4,3.5,3.4416666666666664
research_development?page=42,3.3,3.4,3.36
research_development?page=43,3.2,3.3,3.24
research_development?page=44,3.0,3.2,3.095
research_development?page=45,2.8,3.0,2.885
research_development?page=46,2.5,2.8,2.67
research_development?page=47,2.0,2.5,2.3449999999999998
research_development?page=48,1.3,1.9,1.6285714285714286
sales_marketing?page=1,4.9,5.0,4.930000000000001
sales_marketing?page=2,4.8,4.9,4.890000000000001
sales_marketing?page=3,4.8,4.8,4.8
sales_marketing?page=4,4.7,4.8,4.72
sales_marketing?page=5,4.6,4.7,4.69
sales_marketing?page=6,4.5,4.6,4.585
sales_marketing?page=7,4.4,4.5,4.46
sales_marketing?page=8,4.2,4.4,4.34
sales_marketing?page=9,3.8,4.2,4.0
sales_marketing?page=10,2.2,5.0,3.91
sales_marketing?page=11,4.9,5.0,4.915
sales_marketing?page=12,4.9,4.9,4.9
sales_marketing?page=13,4.8,4.9,4.855
sales_marketing?page=14,4.8,4.8,4.8
sales_marketing?page=15,4.8,4.8,4.8
sales_marketing?page=16,4.8,4.8,4.8
sales_marketing?page=17,4.8,4.8,4.8
sales_marketing?page=18,4.7,4.8,4.755
sales_marketing?page=19,4.7,4.7,4.7
sales_marketing?page=20,4.7,4.7,4.7
sales_marketing?page=21,4.7,4.7,4.7
sales_marketing?page=22,4.7,4.7,4.7
sales_marketing?page=23,4.7,4.7,4.7
sales_marketing?page=24,4.7,4.7,4.7
sales_marketing?page=25,4.7,4.7,4.7
sales_marketing?page=26,4.6,4.7,4.645
sales_marketing?page=27,4.6,4.6,4.6
sales_marketing?page=28,4.6,4.6,4.6
sales_marketing?page=29,4.6,4.6,4.6
sales_marketing?page=30,4.6,4.6,4.6
sales_marketing?page=31,4.6,4.6,4.6
sales_marketing?page=32,4.6,4.6,4.6
sales_marketing?page=33,4.5,4.5,4.5
sales_marketing?page=34,4.5,4.5,4.5
sales_marketing?page=35,4.5,4.5,4.5
sales_marketing?page=36,4.5,4.5,4.5
sales_marketing?page=37,4.5,4.5,4.5
sales_marketing?page=38,4.5,4.5,4.5
sales_marketing?page=39,4.5,4.5,4.5
sales_marketing?page=40,4.4,4.5,4.495
sales_marketing?page=41,4.4,4.4,4.4
sales_marketing?page=42,4.4,4.4,4.4
sales_marketing?page=43,4.4,4.4,4.4
sales_marketing?page=44,4.4,4.4,4.4
sales_marketing?page=45,4.4,4.4,4.4
sales_marketing?page=46,4.4,4.4,4.4
sales_marketing?page=47,4.4,4.4,4.4
sales_marketing?page=48,4.4,4.4,4.4
sales_marketing?page=49,4.4,4.4,4.4
sales_marketing?page=50,4.3,4.4,4.345
sales_marketing?page=51,4.3,4.3,4.3
sales_marketing?page=52,4.3,4.3,4.3
sales_marketing?page=53,4.3,4.3,4.3
sales_marketing?page=54,4.3,4.3,4.3
sales_marketing?page=55,4.3,4.3,4.3
sales_marketing?page=56,4.3,4.3,4.3
sales_marketing?page=57,4.3,4.3,4.3
sales_marketing?page=58,4.3,4.3,4.3
sales_marketing?page=59,4.3,4.3,4.3
sales_marketing?page=60,4.3,4.3,4.3
sales_marketing?page=61,4.3,4.3,4.3
sales_marketing?page=62,4.3,4.3,4.3
sales_marketing?page=63,4.2,4.3,4.27
sales_marketing?page=64,4.2,4.2,4.2
sales_marketing?page=65,4.2,4.2,4.2
sales_marketing?page=66,4.2,4.2,4.2
sales_marketing?page=67,4.2,4.2,4.2
sales_marketing?page=68,4.2,4.2,4.2
sales_marketing?page=69,4.2,4.2,4.2
sales_marketing?page=70,4.2,4.2,4.2
sales_marketing?page=71,4.1,4.2,4.18
sales_marketing?page=72,4.1,4.1,4.1
sales_marketing?page=73,4.1,4.1,4.1
sales_marketing?page=74,4.1,4.1,4.1
sales_marketing?page=75,4.1,4.1,4.1
sales_marketing?page=76,4.1,4.1,4.1
sales_marketing?page=77,4.1,4.1,4.1
sales_marketing?page=78,4.1,4.1,4.1
sales_marketing?page=79,4.1,4.1,4.1
sales_marketing?page=80,4.1,4.1,4.1
sales_marketing?page=81,4.1,4.1,4.1
sales_marketing?page=82,4.0,4.1,4.0649999999999995
sales_marketing?page=83,4.0,4.0,4.0
sales_marketing?page=84,4.0,4.0,4.0
sales_marketing?page=85,4.0,4.0,4.0
sales_marketing?page=86,4.0,4.0,4.0
sales_marketing?page=87,4.0,4.0,4.0
sales_marketing?page=88,4.0,4.0,4.0
sales_marketing?page=89,4.0,4.0,4.0
sales_marketing?page=90,4.0,4.0,4.0
sales_marketing?page=91,4.0,4.0,4.0
sales_marketing?page=92,4.0,4.0,4.0
sales_marketing?page=93,4.0,4.0,4.0
sales_marketing?page=94,4.0,4.0,4.0
sales_marketing?page=95,4.0,4.0,4.0
sales_marketing?page=96,4.0,4.0,4.0
sales_marketing?page=97,4.0,4.0,4.0
sales_marketing?page=98,4.0,4.0,4.0
sales_marketing?page=99,4.0,4.0,4.0
sales_marketing?page=100,4.0,4.0,4.0
sales_marketing?page=101,4.0,4.0,4.0
sales_marketing?page=102,4.0,4.0,4.0
sales_marketing?page=103,4.0,4.0,4.0
sales_marketing?page=104,4.0,4.0,4.0
sales_marketing?page=105,4.0,4.0,4.0
sales_marketing?page=106,4.0,4.0,4.0
sales_marketing?page=107,4.0,4.0,4.0
sales_marketing?page=108,3.9,4.0,3.915
sales_marketing?page=109,3.9,3.9,3.9
sales_marketing?page=110,3.9,3.9,3.9
sales_marketing?page=111,3.9,3.9,3.9
sales_marketing?page=112,3.8,3.9,3.8049999999999997
sales_marketing?page=113,3.8,3.8,3.8
sales_marketing?page=114,3.8,3.8,3.8
sales_marketing?page=115,3.8,3.8,3.8
sales_marketing?page=116,3.8,3.8,3.8
sales_marketing?page=117,3.8,3.8,3.8
sales_marketing?page=118,3.8,3.8,3.8
sales_marketing?page=119,3.8,3.8,3.8
sales_marketing?page=120,3.8,3.8,3.8
sales_marketing?page=121,3.8,3.8,3.8
sales_marketing?page=122,3.8,3.8,3.8
sales_marketing?page=123,3.8,3.8,3.8
sales_marketing?page=124,3.8,3.8,3.8
sales_marketing?page=125,3.8,3.8,3.8
sales_marketing?page=126,3.8,3.8,3.8
sales_marketing?page=127,3.8,3.8,3.8
sales_marketing?page=128,3.8,3.8,3.8
sales_marketing?page=129,3.8,3.8,3.8
sales_marketing?page=130,3.8,3.8,3.8
sales_marketing?page=131,3.8,3.8,3.8
sales_marketing?page=132,3.8,3.8,3.8
sales_marketing?page=133,3.8,3.8,3.8
sales_marketing?page=134,3.7,3.8,3.7849999999999997
sales_marketing?page=135,3.7,3.7,3.7
sales_marketing?page=136,3.7,3.7,3.7
sales_marketing?page=137,3.7,3.7,3.7
sales_marketing?page=138,3.7,3.7,3.7
sales_marketing?page=139,3.7,3.7,3.7
sales_marketing?page=140,3.7,3.7,3.7
sales_marketing?page=141,3.7,3.7,3.7
sales_marketing?page=142,3.7,3.7,3.7
sales_marketing?page=143,3.7,3.7,3.7
sales_marketing?page=144,3.7,3.7,3.7
sales_marketing?page=145,3.7,3.7,3.7
sales_marketing?page=146,3.7,3.7,3.7
sales_marketing?page=147,3.7,3.7,3.7
sales_marketing?page=148,3.7,3.7,3.7
sales_marketing?page=149,3.7,3.7,3.7
sales_marketing?page=150,3.7,3.7,3.7
sales_marketing?page=151,3.7,3.7,3.7
sales_marketing?page=152,3.7,3.7,3.7
sales_marketing?page=153,3.7,3.7,3.7
sales_marketing?page=154,3.7,3.7,3.7
sales_marketing?page=155,3.7,3.7,3.7
sales_marketing?page=156,3.7,3.7,3.7
sales_marketing?page=157,3.7,3.7,3.7
sales_marketing?page=158,3.7,3.7,3.7
sales_marketing?page=159,3.7,3.7,3.7
sales_marketing?page=160,3.7,3.7,3.7
sales_marketing?page=161,3.7,3.7,3.7
sales_marketing?page=162,3.7,3.7,3.7
sales_marketing?page=163,3.7,3.7,3.7
sales_marketing?page=164,3.7,3.7,3.7
sales_marketing?page=165,3.7,3.7,3.7
sales_marketing?page=166,3.7,3.7,3.7
sales_marketing?page=167,3.7,3.7,3.7
sales_marketing?page=168,3.7,3.7,3.7
sales_marketing?page=169,3.7,3.7,3.7
sales_marketing?page=170,3.7,3.7,3.7
sales_marketing?page=171,3.6,3.7,3.63
sales_marketing?page=172,3.6,3.6,3.6
sales_marketing?page=173,3.6,3.6,3.6
sales_marketing?page=174,3.6,3.6,3.6
sales_marketing?page=175,3.6,3.6,3.6
sales_marketing?page=176,3.5,3.6,3.505
sales_marketing?page=177,3.5,3.5,3.5
sales_marketing?page=178,3.5,3.5,3.5
shipping_logistics?page=1,4.8,4.9,4.845
shipping_logistics?page=2,4.6,4.8,4.68
shipping_logistics?page=3,4.3,4.6,4.51
shipping_logistics?page=4,3.6,4.3,4.0649999999999995
shipping_logistics?page=5,2.1,5.0,4.510000000000001
shipping_logistics?page=6,4.8,4.9,4.845
shipping_logistics?page=7,4.7,4.8,4.775
shipping_logistics?page=8,4.7,4.7,4.7
shipping_logistics?page=9,4.6,4.7,4.65
shipping_logistics?page=10,4.6,4.6,4.6
shipping_logistics?page=11,4.5,4.6,4.515
shipping_logistics?page=12,4.5,4.5,4.5
shipping_logistics?page=13,4.4,4.5,4.430000000000001
shipping_logistics?page=14,4.4,4.4,4.4
shipping_logistics?page=15,4.3,4.4,4.335
shipping_logistics?page=16,4.3,4.3,4.3
shipping_logistics?page=17,4.3,4.3,4.3
shipping_logistics?page=18,4.2,4.3,4.21
shipping_logistics?page=19,4.1,4.2,4.1850000000000005
shipping_logistics?page=20,4.1,4.1,4.1
shipping_logistics?page=21,4.0,4.1,4.05
shipping_logistics?page=22,4.0,4.0,4.0
shipping_logistics?page=23,4.0,4.0,4.0
shipping_logistics?page=24,3.9,4.0,3.945
shipping_logistics?page=25,3.8,3.9,3.8249999999999997
shipping_logistics?page=26,3.8,3.8,3.8
shipping_logistics?page=27,3.8,3.8,3.8
shipping_logistics?page=28,3.7,3.8,3.7150000000000003
shipping_logistics?page=29,3.7,3.7,3.7
shipping_logistics?page=30,3.7,3.7,3.7
shipping_logistics?page=31,3.7,3.7,3.7
shipping_logistics?page=32,3.7,3.7,3.7
shipping_logistics?page=33,3.6,3.7,3.645
shipping_logistics?page=34,3.4,3.6,3.506666666666667
shipping_logistics?page=35,3.3,3.4,3.36
shipping_logistics?page=36,3.2,3.3,3.24
shipping_logistics?page=37,3.1,3.2,3.18
shipping_logistics?page=38,2.8,3.0,2.88
shipping_logistics?page=39,2.5,2.8,2.63
shipping_logistics?page=40,2.1,2.5,2.295
shipping_logistics?page=41,1.7,2.0,1.895
shipping_logistics?page=42,1.1,1.6,1.4
wholesale?page=1,4.8,5.0,4.855
wholesale?page=2,4.6,4.8,4.675
wholesale?page=3,4.3,4.6,4.475
wholesale?page=4,3.8,4.3,4.155
wholesale?page=5,2.3,5.0,4.0200000000000005
wholesale?page=6,4.7,4.8,4.755
wholesale?page=7,4.6,4.7,4.63
wholesale?page=8,4.4,4.6,4.505
wholesale?page=9,4.3,4.4,4.345
wholesale?page=10,4.2,4.3,4.255
wholesale?page=11,4.1,4.2,4.135
wholesale?page=12,4.0,4.1,4.055
wholesale?page=13,4.0,4.0,4.0
wholesale?page=14,3.8,4.0,3.9
wholesale?page=15,3.8,3.8,3.8
wholesale?page=16,3.7,3.8,3.75
wholesale?page=17,3.7,3.7,3.7
wholesale?page=18,3.7,3.7,3.7
wholesale?page=19,3.5,3.7,3.59
wholesale?page=20,3.3,3.5,3.43125
wholesale?page=21,3.2,3.3,3.25
wholesale?page=22,2.8,3.2,2.88
wholesale?page=23,2.2,2.8,2.5
wholesale?page=24,1.5,2.2,1.8
wholesale?page=25,1.1,1.4,1.3
architects_engineers?page=1,4.2,4.9,4.705
architects_engineers?page=2,4.3,4.6,4.465
architects_engineers?page=3,4.0,4.2,4.09
architects_engineers?page=4,3.7,4.0,3.875
architects_engineers?page=5,3.2,3.7,3.6294117647058823
architects_engineers?page=6,2.0,3.2,2.8
building_materials?page=1,4.5,4.9,4.75
building_materials?page=2,3.1,4.9,4.44
building_materials?page=3,4.4,4.6,4.505
building_materials?page=4,4.1,4.4,4.25
building_materials?page=5,3.9,4.1,4.035
building_materials?page=6,3.7,3.9,3.8049999999999997
building_materials?page=7,3.7,3.7,3.7
building_materials?page=8,3.7,3.7,3.7
building_materials?page=9,3.3,3.7,3.5176470588235293
building_materials?page=10,2.7,3.2,3.025
building_materials?page=11,1.6,2.7,2.25
chemicals_plastic?page=1,4.2,4.9,4.58
chemicals_plastic?page=2,3.2,4.2,3.816666666666667
chemicals_plastic?page=3,2.0,3.1,2.66
construction_services?page=1,2.9,4.9,4.58
construction_services?page=2,4.1,4.6,4.37
construction_services?page=3,3.8,4.1,3.98
construction_services?page=4,3.7,3.8,3.73
construction_services?page=5,2.3,3.7,3.1333333333333333
contractors_consultants?page=1,4.7,4.9,4.78
contractors_consultants?page=2,2.6,5.0,4.215
contractors_consultants?page=3,4.8,4.9,4.835
contractors_consultants?page=4,4.6,4.8,4.72
contractors_consultants?page=5,4.6,4.6,4.6
contractors_consultants?page=6,4.5,4.6,4.51
contractors_consultants?page=7,4.4,4.5,4.405
contractors_consultants?page=8,4.3,4.4,4.305
contractors_consultants?page=9,4.3,4.3,4.3
contractors_consultants?page=10,4.2,4.3,4.21
contractors_consultants?page=11,4.1,4.1,4.1
contractors_consultants?page=12,4.0,4.1,4.02
contractors_consultants?page=13,4.0,4.0,4.0
contractors_consultants?page=14,4.0,4.0,4.0
contractors_consultants?page=15,3.9,4.0,3.975
contractors_consultants?page=16,3.8,3.9,3.8649999999999998
contractors_consultants?page=17,3.8,3.8,3.8
contractors_consultants?page=18,3.8,3.8,3.8
contractors_consultants?page=19,3.8,3.8,3.8
contractors_consultants?page=20,3.7,3.8,3.755
contractors_consultants?page=21,3.7,3.7,3.7
contractors_consultants?page=22,3.7,3.7,3.7
contractors_consultants?page=23,3.7,3.7,3.7
contractors_consultants?page=24,3.7,3.7,3.7
contractors_consultants?page=25,3.7,3.7,3.7
contractors_consultants?page=26,3.7,3.7,3.7
contractors_consultants?page=27,3.5,3.7,3.606666666666667
contractors_consultants?page=28,3.3,3.4,3.37
contractors_consultants?page=29,3.2,3.3,3.2150000000000003
contractors_consultants?page=30,2.9,3.2,3.0700000000000003
contractors_consultants?page=31,2.4,2.9,2.65
contractors_consultants?page=32,1.3,2.4,1.9384615384615385
factory_equipment?page=1,4.4,4.9,4.655
factory_equipment?page=2,3.3,5.0,4.38
factory_equipment?page=3,4.2,4.6,4.38
factory_equipment?page=4,3.9,4.2,4.035
factory_equipment?page=5,3.4,3.9,3.661111111111111
factory_equipment?page=6,1.5,3.2,2.566666666666667
garden_landscaping?page=1,1.6,4.9,4.265
garden_landscaping?page=2,4.4,4.8,4.55
garden_landscaping?page=3,4.0,4.4,4.1899999999999995
garden_landscaping?page=4,3.7,4.0,3.805
garden_landscaping?page=5,3.7,3.7,3.7
garden_landscaping?page=6,1.7,3.6,2.935294117647059
industrial_supplies?page=1,4.7,5.0,4.785
industrial_supplies?page=2,4.2,4.7,4.5249999999999995
industrial_supplies?page=3,3.0,4.9,4.385
industrial_supplies?page=4,4.3,4.7,4.47
industrial_supplies?page=5,4.0,4.3,4.12
industrial_supplies?page=6,3.7,4.0,3.88
industrial_supplies?page=7,3.6,3.7,3.6900000000000004
industrial_supplies?page=8,2.8,3.6,3.24
industrial_supplies?page=9,1.4,2.8,2.2
manufacturing?page=1,4.8,5.0,4.9
manufacturing?page=2,4.7,4.8,4.78
manufacturing?page=3,4.6,4.7,4.645
manufacturing?page=4,4.3,4.5,4.4350000000000005
manufacturing?page=5,4.0,4.3,4.155
manufacturing?page=6,1.6,5.0,3.815
manufacturing?page=7,4.8,4.9,4.81
manufacturing?page=8,4.6,4.8,4.69
manufacturing?page=9,4.5,4.6,4.595
manufacturing?page=10,4.4,4.5,4.485
manufacturing?page=11,4.3,4.4,4.365
manufacturing?page=12,4.2,4.3,4.275
manufacturing?page=13,4.1,4.2,4.17
manufacturing?page=14,4.0,4.1,4.055
manufacturing?page=15,3.9,4.0,3.98
manufacturing?page=16,3.8,3.9,3.8449999999999998
manufacturing?page=17,3.7,3.8,3.765
manufacturing?page=18,3.7,3.7,3.7
manufacturing?page=19,3.7,3.7,3.7
manufacturing?page=20,3.6,3.7,3.67
manufacturing?page=21,3.4,3.6,3.5076923076923077
manufacturing?page=22,3.0,3.4,3.215
manufacturing?page=23,2.7,3.0,2.8649999999999998
manufacturing?page=24,2.0,2.6,2.4050000000000002
manufacturing?page=25,1.1,1.8,1.5285714285714287
production_services?page=1,4.3,5.0,4.71
production_services?page=2,4.1,4.6,4.37
production_services?page=3,3.7,4.1,3.895
production_services?page=4,3.6,3.7,3.6750000000000003
production_services?page=5,1.3,3.1,2.442857142857143
tools_equipment?page=1,4.7,5.0,4.84
tools_equipment?page=2,4.5,4.7,4.645
tools_equipment?page=3,4.1,4.5,4.345
tools_equipment?page=4,2.9,4.9,4.135
tools_equipment?page=5,4.6,4.8,4.705
tools_equipment?page=6,4.3,4.6,4.465
tools_equipment?page=7,4.1,4.3,4.245
tools_equipment?page=8,4.0,4.1,4.035
tools_equipment?page=9,3.8,4.0,3.9
tools_equipment?page=10,3.7,3.8,3.755
tools_equipment?page=11,3.7,3.7,3.7
tools_equipment?page=12,3.5,3.7,3.6473684210526316
tools_equipment?page=13,3.2,3.4,3.2928571428571427
tools_equipment?page=14,2.3,3.2,2.755
tools_equipment?page=15,1.2,2.2,1.6090909090909091
colleges_universities?page=1,3.4,4.9,4.45
colleges_universities?page=2,3.1,5.0,4.705
colleges_universities?page=3,4.5,4.7,4.59
colleges_universities?page=4,4.3,4.5,4.355
colleges_universities?page=5,4.0,4.2,4.095
colleges_universities?page=6,3.8,4.0,3.8899999999999997
colleges_universities?page=7,3.7,3.8,3.725
colleges_universities?page=8,3.5,3.7,3.66
colleges_universities?page=9,3.0,3.4,3.2533333333333334
colleges_universities?page=10,1.2,3.0,2.3210526315789473
courses_classes?page=1,4.8,4.9,4.855
courses_classes?page=2,4.5,4.8,4.675
courses_classes?page=3,2.8,5.0,4.36
courses_classes?page=4,4.8,4.9,4.855
courses_classes?page=5,4.7,4.8,4.735
courses_classes?page=6,4.6,4.7,4.68
courses_classes?page=7,4.5,4.6,4.569999999999999
courses_classes?page=8,4.4,4.5,4.455
courses_classes?page=9,4.3,4.4,4.33
courses_classes?page=10,4.2,4.3,4.255
courses_classes?page=11,4.0,4.2,4.125
courses_classes?page=12,4.0,4.0,4.0
courses_classes?page=13,3.8,4.0,3.84
courses_classes?page=14,3.7,3.8,3.705
courses_classes?page=15,3.5,3.7,3.6500000000000004
courses_classes?page=16,2.8,3.4,3.1176470588235294
courses_classes?page=17,1.1,2.6,2.0727272727272728
education_services?page=1,4.9,5.0,4.915
education_services?page=2,4.8,4.9,4.88
education_services?page=3,4.8,4.8,4.8
education_services?page=4,4.7,4.8,4.79
education_services?page=5,4.7,4.7,4.7
education_services?page=6,4.6,4.7,4.614999999999999
education_services?page=7,4.5,4.6,4.574999999999999
education_services?page=8,4.4,4.5,4.495
education_services?page=9,4.3,4.4,4.34
education_services?page=10,3.9,4.3,4.1
education_services?page=11,2.0,3.9,3.41
education_services?page=12,4.9,5.0,4.925000000000001
education_services?page=13,4.9,4.9,4.9
education_services?page=14,4.9,4.9,4.9
education_services?page=15,4.8,4.9,4.855
education_services?page=16,4.8,4.8,4.8
education_services?page=17,4.8,4.8,4.8
education_services?page=18,4.8,4.8,4.8
education_services?page=19,4.8,4.8,4.8
education_services?page=20,4.7,4.8,4.78
education_services?page=21,4.7,4.7,4.7
education_services?page=22,4.7,4.7,4.7
education_services?page=23,4.7,4.7,4.7
education_services?page=24,4.7,4.7,4.7
education_services?page=25,4.7,4.7,4.7
education_services?page=26,4.7,4.7,4.7
education_services?page=27,4.6,4.7,4.63
education_services?page=28,4.6,4.6,4.6
education_services?page=29,4.6,4.6,4.6
education_services?page=30,4.6,4.6,4.6
education_services?page=31,4.6,4.6,4.6
education_services?page=32,4.6,4.6,4.6
education_services?page=33,4.5,4.6,4.535
education_services?page=34,4.5,4.5,4.5
education_services?page=35,4.5,4.5,4.5
education_services?page=36,4.5,4.5,4.5
education_services?page=37,4.5,4.5,4.5
education_services?page=38,4.4,4.5,4.430000000000001
education_services?page=39,4.4,4.4,4.4
education_services?page=40,4.4,4.4,4.4
education_services?page=41,4.4,4.4,4.4
education_services?page=42,4.4,4.4,4.4
education_services?page=43,4.4,4.4,4.4
education_services?page=44,4.3,4.4,4.305
education_services?page=45,4.3,4.3,4.3
education_services?page=46,4.3,4.3,4.3
education_services?page=47,4.3,4.3,4.3
education_services?page=48,4.3,4.3,4.3
education_services?page=49,4.3,4.3,4.3
education_services?page=50,4.2,4.3,4.275
education_services?page=51,4.2,4.2,4.2
education_services?page=52,4.2,4.2,4.2
education_services?page=53,4.2,4.2,4.2
education_services?page=54,4.1,4.2,4.195
education_services?page=55,4.1,4.1,4.1
education_services?page=56,4.1,4.1,4.1
education_services?page=57,4.1,4.1,4.1
education_services?page=58,4.0,4.1,4.04
education_services?page=59,4.0,4.0,4.0
education_services?page=60,4.0,4.0,4.0
education_services?page=61,4.0,4.0,4.0
education_services?page=62,4.0,4.0,4.0
education_services?page=63,4.0,4.0,4.0
education_services?page=64,4.0,4.0,4.0
education_services?page=65,4.0,4.0,4.0
education_services?page=66,4.0,4.0,4.0
education_services?page=67,3.9,4.0,3.965
education_services?page=68,3.9,3.9,3.9
education_services?page=69,3.8,3.9,3.8649999999999998
education_services?page=70,3.8,3.8,3.8
education_services?page=71,3.8,3.8,3.8
education_services?page=72,3.8,3.8,3.8
education_services?page=73,3.8,3.8,3.8
education_services?page=74,3.8,3.8,3.8
education_services?page=75,3.8,3.8,3.8
education_services?page=76,3.7,3.8,3.7150000000000003
education_services?page=77,3.7,3.7,3.7
education_services?page=78,3.7,3.7,3.7
education_services?page=79,3.7,3.7,3.7
education_services?page=80,3.7,3.7,3.7
education_services?page=81,3.7,3.7,3.7
education_services?page=82,3.7,3.7,3.7
education_services?page=83,3.7,3.7,3.7
education_services?page=84,3.7,3.7,3.7
education_services?page=85,3.7,3.7,3.7
education_services?page=86,3.7,3.7,3.7
education_services?page=87,3.6,3.6,3.6
education_services?page=88,3.5,3.6,3.525
education_services?page=89,3.4,3.4,3.4
education_services?page=90,3.3,3.4,3.3649999999999998
education_services?page=91,3.2,3.3,3.235
education_services?page=92,3.1,3.2,3.1950000000000003
education_services?page=93,3.0,3.1,3.05
education_services?page=94,2.8,2.9,2.87
education_services?page=95,2.6,2.8,2.6750000000000003
education_services?page=96,2.3,2.6,2.4299999999999997
education_services?page=97,1.9,2.3,2.105
education_services?page=98,1.3,1.9,1.59
