Category,Min Trust Score,Max Trust Score,Avg Trust Score
personal_care?page=29,4.2,4.2,4.2
personal_care?page=30,4.1,4.2,4.13
personal_care?page=31,4.1,4.1,4.1
personal_care?page=32,4.0,4.1,4.06
personal_care?page=33,4.0,4.0,4.0
personal_care?page=34,4.0,4.0,4.0
personal_care?page=35,4.0,4.0,4.0
personal_care?page=36,4.0,4.0,4.0
personal_care?page=37,3.9,4.0,3.995
personal_care?page=38,3.9,3.9,3.9
personal_care?page=39,3.8,3.9,3.895
personal_care?page=40,3.8,3.8,3.8
personal_care?page=41,3.8,3.8,3.8
personal_care?page=42,3.8,3.8,3.8
personal_care?page=43,3.7,3.8,3.745
personal_care?page=44,3.7,3.7,3.7
personal_care?page=45,3.7,3.7,3.7
personal_care?page=46,3.7,3.7,3.7
personal_care?page=47,3.7,3.7,3.7
personal_care?page=48,3.6,3.7,3.67
personal_care?page=49,3.6,3.6,3.6
personal_care?page=50,3.5,3.6,3.585
personal_care?page=51,3.5,3.5,3.5
personal_care?page=52,3.5,3.5,3.5
personal_care?page=53,3.4,3.4,3.4
personal_care?page=54,3.4,3.4,3.4
personal_care?page=55,3.3,3.4,3.315
personal_care?page=56,3.1,3.3,3.19
personal_care?page=57,3.0,3.1,3.08
personal_care?page=58,2.8,3.0,2.945
personal_care?page=59,2.6,2.8,2.705
personal_care?page=60,2.3,2.6,2.4299999999999997
personal_care?page=61,1.9,2.3,2.115
personal_care?page=62,1.5,1.8,1.655
personal_care?page=63,1.2,1.5,1.3399999999999999
salons_clinics?page=1,4.7,4.9,4.78
salons_clinics?page=2,4.6,4.7,4.645
salons_clinics?page=3,4.4,4.6,4.48
salons_clinics?page=4,4.2,4.4,4.29
salons_clinics?page=5,3.7,4.2,3.965
salons_clinics?page=6,2.7,3.7,3.42
salons_clinics?page=7,1.5,4.9,4.41
salons_clinics?page=8,4.7,4.8,4.72
salons_clinics?page=9,4.5,4.7,4.6049999999999995
salons_clinics?page=10,4.5,4.5,4.5
salons_clinics?page=11,4.4,4.5,4.445
salons_clinics?page=12,4.3,4.4,4.365
salons_clinics?page=13,4.3,4.3,4.3
salons_clinics?page=14,4.2,4.3,4.275
salons_clinics?page=15,4.2,4.2,4.2
salons_clinics?page=16,4.1,4.2,4.135
salons_clinics?page=17,4.0,4.1,4.055
salons_clinics?page=18,4.0,4.0,4.0
salons_clinics?page=19,3.9,4.0,3.995
salons_clinics?page=20,3.8,3.9,3.8899999999999997
salons_clinics?page=21,3.8,3.8,3.8
salons_clinics?page=22,3.7,3.8,3.7849999999999997
salons_clinics?page=23,3.7,3.7,3.7
salons_clinics?page=24,3.7,3.7,3.7
salons_clinics?page=25,3.7,3.7,3.7
salons_clinics?page=26,3.7,3.7,3.7
salons_clinics?page=27,3.6,3.7,3.6550000000000002
salons_clinics?page=28,3.6,3.6,3.6
salons_clinics?page=29,3.5,3.6,3.515
salons_clinics?page=30,3.5,3.5,3.5
salons_clinics?page=31,3.4,3.4,3.4
salons_clinics?page=32,3.3,3.4,3.3499999999999996
salons_clinics?page=33,3.2,3.3,3.205
salons_clinics?page=34,3.0,3.1,3.05
salons_clinics?page=35,2.5,2.9,2.76
salons_clinics?page=36,2.1,2.5,2.305
salons_clinics?page=37,1.6,2.1,1.835
salons_clinics?page=38,1.2,1.6,1.3666666666666667
tattoos_piercings?page=1,3.4,4.7,4.01
tattoos_piercings?page=2,1.5,3.7,3.018181818181818
wellness_spa?page=1,4.8,5.0,4.84
wellness_spa?page=2,4.6,4.8,4.72
wellness_spa?page=3,4.4,4.6,4.52
wellness_spa?page=4,3.9,4.4,4.13
wellness_spa?page=5,2.4,5.0,4.180000000000001
wellness_spa?page=6,4.7,4.9,4.81
wellness_spa?page=7,4.6,4.7,4.68
wellness_spa?page=8,4.6,4.6,4.6
wellness_spa?page=9,4.5,4.6,4.505
wellness_spa?page=10,4.4,4.5,4.415
wellness_spa?page=11,4.3,4.4,4.335
wellness_spa?page=12,4.2,4.3,4.28
wellness_spa?page=13,4.2,4.2,4.2
wellness_spa?page=14,4.1,4.2,4.14
wellness_spa?page=15,4.0,4.1,4.04
wellness_spa?page=16,4.0,4.0,4.0
wellness_spa?page=17,3.9,4.0,3.955
wellness_spa?page=18,3.8,3.9,3.8099999999999996
wellness_spa?page=19,3.7,3.8,3.745
wellness_spa?page=20,3.7,3.7,3.7
wellness_spa?page=21,3.6,3.7,3.6950000000000003
wellness_spa?page=22,3.5,3.6,3.5700000000000003
wellness_spa?page=23,3.4,3.5,3.46
wellness_spa?page=24,3.3,3.4,3.37
wellness_spa?page=25,3.2,3.3,3.23
wellness_spa?page=26,2.9,3.2,3.05
wellness_spa?page=27,2.3,2.9,2.6149999999999998
wellness_spa?page=28,1.6,2.3,1.92
wellness_spa?page=29,1.1,1.6,1.3888888888888888
