Category,Min Trust Score,Max Trust Score,Avg Trust Score
oil_fuel,1.7,4.8,3.86
other_vehicles_trailers,1.5,4.9,3.6409172932330827
outdoor_activities,1.6,5.0,3.8008333333333333
outdoor_winter_sports,1.7,5.0,3.946861471861472
painting_paper,1.4,4.9,3.9201190476190475
personal_care,1.2,5.0,3.9186507936507935
pet_services,1.9,5.0,3.862738095238095
pet_stores,1.2,5.0,3.8582716049382717
pharmacy_medicine,1.2,5.0,3.7155147928994086
photography,1.3,5.0,4.022857142857143
physical_aids,1.2,4.9,3.7190073529411767
plumbing_sanitation,1.1,4.9,3.71
pregnancy_children,1.3,4.9,3.833111111111111
print_graphic_design,1.1,5.0,4.0007124842370745
production_services,1.3,5.0,3.8185714285714285
professional_organizations,1.1,5.0,3.8766228619107213
public_services_welfare,2.0,4.9,3.751111111111111
real_estate,1.2,5.0,3.819079861111111
registration_services,1.1,4.9,3.6320634920634918
religious_institutions,3.1,4.8,3.8862500000000004
repair_service_providers,1.7,4.9,3.611666666666667
repair_services,1.3,5.0,3.8762280701754386
research_development,1.3,5.0,3.90406746031746
sales_marketing,2.2,5.0,4.091516853932584
salons_clinics,1.2,4.9,3.7737280701754385
school_high_school,1.4,5.0,3.6316959064327485
shelters_homes,2.8,4.8,3.775
shipping_logistics,1.1,5.0,3.890992063492064
shooting_target_sports,2.3,5.0,3.664035087719298
smoking_tobacco,1.2,4.9,3.6660561497326203
southeast_asian_cuisine,1.7,4.7,3.79
specials_schools,1.4,5.0,4.081568627450981
swimming_water_sports,1.4,4.9,3.6867857142857146
takeaway,1.4,4.9,3.8820426065162903
tattoos_piercings,1.5,4.7,3.5140909090909087
taxis_public_transport,1.2,5.0,3.96875
tennis_racquet_sports,2.8,4.8,4.24375
theater_opera,2.2,4.7,3.784615384615385
therapy_senior_health,1.4,4.9,3.790136684303351
tools_equipment,1.2,5.0,3.8716210982000456
travel_agencies,1.1,5.0,3.9019883040935675
vegetarian_diet,3.3,4.7,4.021428571428571
vehical_rental,1.2,4.9,3.5853240539364943
vehicle_repair_fuel,1.3,5.0,3.7837875457875456
video_sound,1.2,5.0,3.84247035480859
vision_hearing,1.4,5.0,3.6996759259259258
vocational_training,3.9,4.9,4.524285714285714
waste_management,1.2,5.0,3.9014423076923075
water_utilities,2.4,4.9,3.6900000000000004
wedding_party,1.2,5.0,3.8218621918621922
wellness_spa,1.1,5.0,3.8587547892720306
wholesale,1.1,5.0,3.77845
yoga_meditation,2.4,4.9,3.997
